name,year,Price,kms_driven,fuel_type,company
Hyundai Santro Xing,2007,80000,45000,Petrol,Hyundai
Mahindra Jeep CL550,2006,425000,40,Diesel,Mahindra
Hyundai Grand i10,2014,325000,28000,Petrol,Hyundai
Ford EcoSport Titanium,2014,575000,36000,Diesel,Ford
Ford Figo,2012,175000,41000,Diesel,Ford
Hyundai Eon,2013,190000,25000,Petrol,Hyundai
Ford EcoSport Ambiente,2016,830000,24530,Diesel,Ford
Maruti Suzuki Alto,2015,250000,60000,Petrol,Maruti
Skoda Fabia Classic,2010,182000,60000,Petrol,Skoda
Maruti Suzuki Stingray,2015,315000,30000,Petrol,Maruti
Hyundai Elite i20,2014,415000,32000,Petrol,Hyundai
Mahindra Scorpio SLE,2015,320000,48660,Diesel,Mahindra
Hyundai Santro Xing,2007,80000,45000,Petrol,Hyundai
Mahindra Jeep CL550,2006,425000,40,Diesel,Mahindra
Audi A8,2017,1000000,4000,Petrol,Audi
Audi Q7,2014,500000,16934,Diesel,Audi
Mahindra Scorpio S10,2016,350000,43000,Diesel,Mahindra
Maruti Suzuki Alto,2014,160000,35550,Petrol,Maruti
Mahindra Scorpio S10,2016,350000,43000,Diesel,Mahindra
Mahindra Scorpio S10,2016,310000,39522,Diesel,Mahindra
Maruti Suzuki Alto,2015,75000,39000,Petrol,Maruti
Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
Hyundai i20 Sportz,2012,100000,55000,Petrol,Hyundai
Maruti Suzuki Alto,2017,190000,72000,Petrol,Maruti
Maruti Suzuki Vitara,2016,290000,15975,Diesel,Maruti
Maruti Suzuki Alto,2008,95000,70000,Petrol,Maruti
Mahindra Bolero DI,2017,180000,23452,Diesel,Mahindra
Maruti Suzuki Swift,2014,385000,35522,Diesel,Maruti
Mahindra Scorpio S10,2015,250000,48508,Diesel,Mahindra
Maruti Suzuki Swift,2017,180000,15487,Petrol,Maruti
Maruti Suzuki Wagon,2013,105000,39000,Petrol,Maruti
Maruti Suzuki Wagon,2013,105000,39000,Petrol,Maruti
Toyota Innova 2.0,2012,650000,82000,Diesel,Toyota
Renault Lodgy 85,2018,689999,20000,Diesel,Renault
